t,confirmed,recovered,dead,infected
1,444,28,17,399
2,444,28,17,399
3,549,31,24,494
4,761,32,40,689
5,1058,42,52,964
6,1423,45,76,1302
7,3554,80,125,3349
8,3554,88,125,3341
9,4903,90,162,4651
10,5806,141,204,5461
11,7153,168,249,6736
12,11177,295,350,10532
13,13522,386,414,12722
14,16678,522,479,15677
15,19665,633,549,18483
16,22112,817,618,20677
17,24953,1115,699,23139
18,27100,1439,780,24881
19,29631,1795,871,26965
20,31728,2222,974,28532
21,33366,2639,1068,29659
22,33366,2686,1068,29612
23,48206,3459,1310,43437
24,54406,4774,1457,48175
25,56249,5623,1596,49030
26,58182,6639,1696,49847
27,59989,7862,1789,50338
28,61682,9128,1921,50633
29,62031,10337,2029,49665
30,62442,11788,2144,48510
31,62662,11881,2144,48637
32,64084,15299,2346,46439
33,64084,15343,2346,46395
34,64287,16748,2495,45044
35,64786,18971,2563,43252
36,65187,20969,2615,41603
37,65596,23383,2641,39572
38,65914,26403,2682,36829
39,66337,28993,2727,34617
40,66907,31536,2761,32610
41,67103,33934,2803,30366
42,67217,36208,2835,28174
43,67332,38557,2871,25904
44,67466,40592,2902,23972
45,67592,42033,2931,22628
46,67666,43500,2959,21207
47,67707,45235,2986,19486
48,67743,46488,3008,18247
49,67760,47743,3024,16993
50,67773,49134,3046,15593
51,67781,50318,3056,14407
52,67786,51553,3062,13171
53,67790,52960,3075,11755
54,67794,54288,3085,10421
55,67798,55142,3099,9557
56,67799,56003,3111,8685
57,67800,56927,3122,7751
58,67800,57682,3130,6988
59,67800,58382,3133,6285
60,67800,58946,3139,5715
61,67800,59433,3144,5223
62,67800,59879,3153,4768
